epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.80936,1.7505,5.99322,0.00749,0.45944,0.43825,0.41231,0.29038,1.14223,2.81224,0.00628,0.0004,0.0004,0.0004
2,12.6046,1.57267,2.56939,0.00684,0.58655,0.55469,0.54558,0.31611,1.5564,1.84105,0.00968,0.000817971,0.000817971,0.000817971
3,16.0234,1.72666,1.97691,0.00705,0.54913,0.60938,0.54314,0.30506,1.48881,1.96338,0.00901,0.00123386,0.00123386,0.00123386
4,19.3521,1.84192,1.89967,0.00753,0.56644,0.44531,0.48704,0.2887,1.51452,2.12264,0.00894,0.00164767,0.00164767,0.00164767
5,22.7381,1.87449,1.96301,0.00876,0.42551,0.36719,0.31012,0.18173,1.63431,3.82184,0.00953,0.0019802,0.0019802,0.0019802
6,26.1653,1.85106,2.074,0.00865,0.27138,0.26562,0.14659,0.0711,1.88695,8.97141,0.01136,0.00197525,0.00197525,0.00197525
7,29.5552,1.80317,1.8391,0.00765,0.5759,0.5625,0.56657,0.20033,2.15201,2.56902,0.01348,0.0019703,0.0019703,0.0019703
8,33.0145,1.78597,1.82859,0.0081,0.60825,0.54587,0.51757,0.16109,2.26935,2.46474,0.01461,0.00196535,0.00196535,0.00196535
9,36.4865,1.85774,1.79808,0.00772,0.73215,0.53906,0.60833,0.36912,1.46592,1.84958,0.00849,0.0019604,0.0019604,0.0019604
10,39.9368,1.85813,1.92569,0.0088,0.69683,0.55469,0.58492,0.24228,1.96545,1.86371,0.01206,0.00195545,0.00195545,0.00195545
11,43.378,1.69726,1.70377,0.00811,0.81304,0.64553,0.75898,0.46187,1.45913,1.3174,0.00834,0.0019505,0.0019505,0.0019505
12,46.8641,1.8373,1.62486,0.00872,0.65894,0.5,0.55364,0.26008,1.94958,1.91379,0.01186,0.00194555,0.00194555,0.00194555
13,50.4535,1.85498,1.81663,0.00799,0.67352,0.625,0.6987,0.39077,1.68119,1.62349,0.01053,0.0019406,0.0019406,0.0019406
14,54.0046,1.83591,1.6272,0.00817,0.77724,0.54688,0.678,0.32533,1.90045,1.59596,0.01201,0.00193565,0.00193565,0.00193565
15,57.5859,1.82094,1.58528,0.00766,0.77281,0.55469,0.61845,0.25536,2.1459,1.67067,0.01344,0.0019307,0.0019307,0.0019307
16,61.0355,1.73078,1.50092,0.00794,0.76141,0.65625,0.72903,0.39674,1.70295,1.37132,0.01004,0.00192575,0.00192575,0.00192575
17,64.516,1.79559,1.70385,0.00763,0.69264,0.70422,0.7129,0.32369,1.85402,1.5459,0.01168,0.0019208,0.0019208,0.0019208
18,67.91,1.7244,1.53193,0.00756,0.74936,0.67188,0.74575,0.42116,1.64037,1.3355,0.00966,0.00191585,0.00191585,0.00191585
19,71.4527,1.81099,1.56,0.00804,0.80811,0.62511,0.72019,0.42666,1.54152,1.3466,0.00889,0.0019109,0.0019109,0.0019109
20,75.019,1.81888,1.65649,0.00747,0.78242,0.61807,0.73809,0.42162,1.57236,1.5936,0.00938,0.00190595,0.00190595,0.00190595
21,78.3961,1.67704,1.57618,0.00764,0.76153,0.72354,0.76018,0.41254,1.69599,1.28003,0.01087,0.001901,0.001901,0.001901
22,81.8219,1.66052,1.49356,0.00773,0.78269,0.76562,0.82431,0.46129,1.61544,1.14833,0.00901,0.00189605,0.00189605,0.00189605
23,85.3686,1.76787,1.39969,0.00783,0.81189,0.63281,0.75191,0.43411,1.52796,1.53352,0.00908,0.0018911,0.0018911,0.0018911
24,88.8337,1.74679,1.53773,0.008,0.80504,0.61294,0.689,0.32288,1.90788,1.89284,0.01126,0.00188615,0.00188615,0.00188615
25,92.3424,1.73589,1.5038,0.0076,0.68426,0.61719,0.62839,0.3339,1.74937,1.62785,0.01143,0.0018812,0.0018812,0.0018812
26,95.7672,1.64657,1.39222,0.00687,0.8618,0.71875,0.81772,0.49696,1.4589,1.04945,0.00824,0.00187625,0.00187625,0.00187625
27,99.2946,1.72671,1.33318,0.00749,0.84198,0.74219,0.83174,0.47549,1.55095,1.04383,0.00876,0.0018713,0.0018713,0.0018713
28,102.823,1.67967,1.3617,0.00684,0.79861,0.71094,0.77564,0.42164,1.57635,1.33452,0.0094,0.00186635,0.00186635,0.00186635
29,106.269,1.68037,1.32536,0.00762,0.86892,0.72506,0.80701,0.39799,1.88097,1.13878,0.01107,0.0018614,0.0018614,0.0018614
30,109.658,1.62373,1.29605,0.00699,0.89581,0.67169,0.82311,0.50041,1.42859,0.97046,0.00828,0.00185645,0.00185645,0.00185645
31,113.158,1.64951,1.40065,0.0073,0.80654,0.6875,0.75752,0.35446,1.84159,1.81832,0.01127,0.0018515,0.0018515,0.0018515
32,116.559,1.57613,1.29308,0.00666,0.83187,0.6958,0.79275,0.49915,1.4468,1.21647,0.00819,0.00184655,0.00184655,0.00184655
33,120.04,1.72738,1.38946,0.0073,0.83067,0.69531,0.79696,0.48017,1.50154,1.14078,0.00843,0.0018416,0.0018416,0.0018416
34,123.423,1.68085,1.33561,0.00701,0.82333,0.67969,0.76315,0.40154,1.69999,1.36665,0.00993,0.00183665,0.00183665,0.00183665
35,126.862,1.60324,1.33764,0.00711,0.85356,0.80469,0.82799,0.45336,1.53407,1.30429,0.00867,0.0018317,0.0018317,0.0018317
36,130.358,1.65768,1.32483,0.00709,0.8194,0.75,0.81017,0.47353,1.50392,1.15018,0.00837,0.00182675,0.00182675,0.00182675
37,133.824,1.68765,1.32027,0.00732,0.85538,0.73932,0.79247,0.40909,1.68286,1.25524,0.00985,0.0018218,0.0018218,0.0018218
38,137.232,1.66291,1.40422,0.00706,0.8993,0.74219,0.8424,0.51338,1.36769,0.97544,0.00789,0.00181685,0.00181685,0.00181685
39,140.741,1.56894,1.17129,0.00633,0.88104,0.69432,0.82268,0.43815,1.667,1.1459,0.01044,0.0018119,0.0018119,0.0018119
40,144.202,1.59458,1.27996,0.00729,0.82544,0.73438,0.82737,0.52025,1.37183,1.0034,0.0076,0.00180695,0.00180695,0.00180695
41,147.667,1.66987,1.40482,0.00741,0.88152,0.58594,0.72521,0.40262,1.73864,1.51166,0.01014,0.001802,0.001802,0.001802
42,151.076,1.62156,1.23542,0.00722,0.87128,0.74219,0.81228,0.46417,1.59213,1.22418,0.00925,0.00179705,0.00179705,0.00179705
43,154.569,1.61789,1.20162,0.00734,0.78614,0.61719,0.73693,0.39525,1.79308,1.4548,0.01032,0.0017921,0.0017921,0.0017921
44,157.974,1.61366,1.20589,0.00746,0.79263,0.71875,0.77979,0.44266,1.60259,1.08032,0.00993,0.00178715,0.00178715,0.00178715
45,161.452,1.68128,1.24129,0.00727,0.84531,0.70312,0.81043,0.44092,1.66526,1.06488,0.00968,0.0017822,0.0017822,0.0017822
46,164.875,1.69093,1.32218,0.00706,0.8878,0.74183,0.8222,0.50953,1.40438,1.10322,0.00784,0.00177725,0.00177725,0.00177725
47,168.304,1.63318,1.15995,0.00689,0.86294,0.71094,0.80967,0.53505,1.35482,0.99942,0.00752,0.0017723,0.0017723,0.0017723
48,171.775,1.60481,1.24704,0.00753,0.8035,0.83059,0.85389,0.50306,1.42827,0.96488,0.00821,0.00176735,0.00176735,0.00176735
49,175.22,1.56211,1.18556,0.00652,0.85605,0.69692,0.8054,0.38641,1.84509,1.14757,0.01113,0.0017624,0.0017624,0.0017624
50,178.656,1.65784,1.25059,0.00669,0.85009,0.75781,0.83481,0.47316,1.55834,1.18427,0.00914,0.00175745,0.00175745,0.00175745
51,182.08,1.54384,1.16927,0.00681,0.87134,0.71094,0.80446,0.43279,1.67238,1.08605,0.01042,0.0017525,0.0017525,0.0017525
52,185.528,1.63636,1.18197,0.00707,0.8676,0.71875,0.82024,0.45849,1.70938,1.0691,0.01067,0.00174755,0.00174755,0.00174755
53,189.013,1.55903,1.36383,0.00677,0.8631,0.78811,0.8681,0.50293,1.54631,0.93964,0.00857,0.0017426,0.0017426,0.0017426
54,192.402,1.53695,1.13707,0.00651,0.77207,0.78906,0.81756,0.49407,1.47106,1.27537,0.00856,0.00173765,0.00173765,0.00173765
55,195.79,1.52751,1.11642,0.00682,0.85437,0.75,0.80201,0.49241,1.50076,1.14484,0.00858,0.0017327,0.0017327,0.0017327
56,199.214,1.52898,1.0862,0.00678,0.8525,0.72249,0.83361,0.49094,1.53495,0.96245,0.0089,0.00172775,0.00172775,0.00172775
57,202.704,1.60273,1.18572,0.00674,0.84675,0.67188,0.78338,0.49684,1.40635,1.14766,0.00782,0.0017228,0.0017228,0.0017228
58,206.139,1.57982,1.15305,0.00649,0.90555,0.74903,0.84202,0.49297,1.48701,0.97939,0.0085,0.00171785,0.00171785,0.00171785
59,209.62,1.62145,1.1567,0.00642,0.82858,0.75781,0.8231,0.43211,1.69598,1.14681,0.01005,0.0017129,0.0017129,0.0017129
