epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.1222,2.03847,4.21162,0.01359,0.52253,0.33094,0.32505,0.11923,2.17038,3.1694,0.02294,0.000648148,0.000648148,0.000648148
2,27.3566,2.01157,2.21391,0.01401,0.26076,0.36691,0.22918,0.06889,2.25883,3.67574,0.02497,0.00131156,0.00131156,0.00131156
3,37.1664,2.10038,2.11262,0.01465,0.45859,0.34173,0.32849,0.09204,2.3564,2.34779,0.02698,0.00197167,0.00197167,0.00197167
4,47.3423,2.14116,2.14094,0.01542,0.32074,0.33971,0.23669,0.06201,2.54041,4.97249,0.03185,0.00198515,0.00198515,0.00198515
5,57.6345,2.15798,2.04677,0.01537,0.38331,0.30935,0.23665,0.05217,2.8222,2.22774,0.03298,0.0019802,0.0019802,0.0019802
6,67.6934,2.11709,1.96487,0.01494,0.2301,0.1259,0.09297,0.02621,2.22476,3.5795,0.02574,0.00197525,0.00197525,0.00197525
7,77.4084,2.09563,1.81225,0.01361,0.51464,0.47842,0.43437,0.12258,2.2897,1.88974,0.02544,0.0019703,0.0019703,0.0019703
8,87.7629,2.04418,1.77413,0.01466,0.51806,0.52518,0.48055,0.19186,1.94359,1.92609,0.01968,0.00196535,0.00196535,0.00196535
9,98.0092,2.03308,1.79431,0.01503,0.64663,0.55396,0.60542,0.21478,2.09379,2.19592,0.02132,0.0019604,0.0019604,0.0019604
10,107.688,2.04683,1.75313,0.01418,0.75734,0.55755,0.67538,0.28063,2.02579,1.32664,0.02219,0.00195545,0.00195545,0.00195545
11,117.984,1.98761,1.56278,0.01409,0.65328,0.55755,0.59818,0.21305,2.19974,1.4158,0.02559,0.0019505,0.0019505,0.0019505
12,128.337,2.01309,1.66395,0.01473,0.66016,0.47516,0.5705,0.17505,2.30469,1.61499,0.02604,0.00194555,0.00194555,0.00194555
13,138.149,1.99508,1.58633,0.01378,0.65997,0.59345,0.6553,0.24996,2.15809,1.31026,0.02341,0.0019406,0.0019406,0.0019406
14,147.883,1.92028,1.61342,0.0128,0.66643,0.63243,0.70819,0.30086,1.92531,1.34516,0.02077,0.00193565,0.00193565,0.00193565
15,158.159,1.93085,1.53998,0.01339,0.66878,0.58104,0.64029,0.213,1.98648,1.74874,0.02081,0.0019307,0.0019307,0.0019307
16,168.272,1.93924,1.57953,0.01426,0.74007,0.56475,0.6699,0.25769,2.12731,1.72157,0.02136,0.00192575,0.00192575,0.00192575
17,177.977,1.98488,1.49742,0.01384,0.75156,0.63309,0.71293,0.30821,1.99039,1.3676,0.02017,0.0019208,0.0019208,0.0019208
18,187.931,1.94386,1.55057,0.01328,0.76196,0.59712,0.70766,0.26818,2.04242,1.65492,0.02129,0.00191585,0.00191585,0.00191585
19,198.278,1.93617,1.48641,0.01322,0.7476,0.57194,0.65802,0.31806,1.88219,1.6241,0.01915,0.0019109,0.0019109,0.0019109
20,208.567,1.91412,1.54188,0.01376,0.68432,0.66279,0.68998,0.28177,2.02227,1.39203,0.02205,0.00190595,0.00190595,0.00190595
21,217.976,1.94049,1.56485,0.01352,0.67048,0.62943,0.65774,0.24797,2.01395,1.49676,0.02061,0.001901,0.001901,0.001901
22,228.102,1.90646,1.53815,0.01314,0.7298,0.63152,0.7306,0.30691,1.94534,1.28205,0.02131,0.00189605,0.00189605,0.00189605
23,238.386,1.89375,1.51532,0.01303,0.80615,0.58342,0.7124,0.31291,1.88474,1.2331,0.01971,0.0018911,0.0018911,0.0018911
24,248.429,1.88149,1.44699,0.01291,0.75565,0.69424,0.76808,0.32665,1.93893,1.2466,0.02011,0.00188615,0.00188615,0.00188615
25,258.251,1.9772,1.44927,0.01405,0.71798,0.67266,0.76692,0.33879,1.90263,1.21773,0.01968,0.0018812,0.0018812,0.0018812
26,268.577,1.86348,1.35107,0.01263,0.70816,0.62845,0.69607,0.23991,2.18298,1.23466,0.0245,0.00187625,0.00187625,0.00187625
27,278.772,1.90657,1.34663,0.01305,0.78422,0.74101,0.79321,0.35844,1.89317,1.00613,0.0188,0.0018713,0.0018713,0.0018713
28,288.568,1.90221,1.41324,0.0128,0.71389,0.64624,0.70369,0.24557,2.13489,1.25413,0.02438,0.00186635,0.00186635,0.00186635
29,298.664,1.85789,1.43122,0.01291,0.68309,0.71223,0.73487,0.34638,1.9257,1.22205,0.01968,0.0018614,0.0018614,0.0018614
30,309.013,1.91996,1.43797,0.01251,0.74932,0.67626,0.74166,0.32599,1.93292,1.26005,0.01983,0.00185645,0.00185645,0.00185645
31,319.135,1.90051,1.38918,0.01334,0.75549,0.73354,0.80858,0.33803,1.99105,1.08495,0.02091,0.0018515,0.0018515,0.0018515
32,328.729,1.85136,1.31324,0.01347,0.76603,0.67626,0.7668,0.33974,1.89677,1.40715,0.01992,0.00184655,0.00184655,0.00184655
33,338.901,1.85699,1.36002,0.01329,0.81449,0.70504,0.80403,0.4055,1.77267,1.12909,0.01737,0.0018416,0.0018416,0.0018416
34,349.131,1.84188,1.32793,0.01327,0.7346,0.65827,0.7584,0.3688,1.82882,1.20491,0.01841,0.00183665,0.00183665,0.00183665
35,358.965,1.86827,1.30229,0.01389,0.82908,0.61511,0.7534,0.35496,1.88872,1.09423,0.0189,0.0018317,0.0018317,0.0018317
36,369.174,1.89216,1.34759,0.01338,0.79794,0.72662,0.80562,0.38667,1.86,0.95177,0.01919,0.00182675,0.00182675,0.00182675
37,379.423,1.8422,1.31266,0.01271,0.73423,0.72662,0.74395,0.30982,1.9854,1.20244,0.02219,0.0018218,0.0018218,0.0018218
38,389.503,1.86076,1.30263,0.0126,0.77727,0.67788,0.76192,0.31851,1.95348,1.14085,0.02085,0.00181685,0.00181685,0.00181685
39,399.206,1.81633,1.23825,0.01237,0.84187,0.70859,0.81132,0.39302,1.84233,1.02442,0.01848,0.0018119,0.0018119,0.0018119
40,409.348,1.87168,1.35148,0.01319,0.80053,0.66405,0.79236,0.34615,1.91945,1.17282,0.01935,0.00180695,0.00180695,0.00180695
41,419.652,1.84451,1.21321,0.01267,0.72875,0.71583,0.77288,0.39217,1.72902,1.43971,0.01725,0.001802,0.001802,0.001802
42,429.431,1.80374,1.2665,0.01272,0.86226,0.71223,0.81536,0.40983,1.7307,0.99535,0.01681,0.00179705,0.00179705,0.00179705
43,439.732,1.83612,1.28773,0.01265,0.84258,0.66187,0.79027,0.38409,1.78864,1.05964,0.01768,0.0017921,0.0017921,0.0017921
44,449.982,1.77497,1.2619,0.01195,0.73094,0.76221,0.79572,0.39798,1.65653,1.24371,0.01641,0.00178715,0.00178715,0.00178715
45,459.952,1.81272,1.23763,0.01227,0.73879,0.76259,0.81428,0.38265,1.8525,1.07205,0.01973,0.0017822,0.0017822,0.0017822
46,469.637,1.77658,1.27282,0.01249,0.74796,0.73381,0.81252,0.39129,1.85905,1.0041,0.01915,0.00177725,0.00177725,0.00177725
47,479.938,1.75851,1.28155,0.0127,0.77546,0.7482,0.77997,0.36968,1.85586,1.12244,0.01897,0.0017723,0.0017723,0.0017723
48,490.156,1.8076,1.34,0.012,0.74945,0.69065,0.75888,0.30507,2.05505,1.14218,0.02279,0.00176735,0.00176735,0.00176735
49,499.85,1.81549,1.23275,0.01249,0.76844,0.68345,0.77596,0.35226,1.89412,1.27941,0.01895,0.0017624,0.0017624,0.0017624
50,510.069,1.78247,1.26747,0.01215,0.79831,0.73022,0.79053,0.38193,1.82684,1.07056,0.01903,0.00175745,0.00175745,0.00175745
51,520.396,1.77804,1.23766,0.01204,0.77099,0.7266,0.7915,0.37605,1.87148,1.05661,0.01922,0.0017525,0.0017525,0.0017525
52,530.386,1.73936,1.21778,0.01212,0.81734,0.67604,0.7633,0.36247,1.83979,1.16715,0.01965,0.00174755,0.00174755,0.00174755
53,540.232,1.76959,1.22267,0.01239,0.79086,0.76619,0.82427,0.38274,1.83826,1.02835,0.0182,0.0017426,0.0017426,0.0017426
